Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
300 N Turner St,Hobbs,United States,New Mexico,"Hobbs, NM",Hobbs Police,107,5753979284,"50,000",New Mexico,Police Departments,http://hobbsnm.org,88240,,
1659 E. Elm Street,Jefferson City,United States,Cole,"Jefferson City, MO",Missouri State Park Rangers,46,573-751-9188,,Missouri,Police Departments,https://mostateparks.com/rangers,65101,,
29 S. State St,Westerville,United States,OH,"Westerville, OH",Westerville Police Department,76,6149016450,"40,000",Ohio,Police Departments,https://www.westerville.org/,43081,,
605 Panther Ave.,Warren,United States,Trumbull,"Warren, OH","Trumbull County Sheriffs Department, OH",,3306752508,,Ohio,Sheriffs Departments,http://sheriff.co.trumbull.oh.us/,44483,,
624-B S. Fayetteville St.,Asheboro,United States,Randolph,"Asheboro, NC","Piedmont Company Police Department, NC",,336-223-4940,,North Carolina,Police Departments,http://www.piedmontpatrol.com,27203,,
100 Reef Rd,Fairfield,United States,Fairfield,"Fairfield, CT",Fairfield Police Department,108,203-254-4808,"59,000",Connecticut,Police Departments,https://www.fpdct.com/,06824,203-254-4868,
1201 12th st se Ste B,Watford City ,United States,McKenzie,"Watford City , ND",McKenzie County Sheriffs Office,37,701-444-3654,13700,North Dakota,Sheriffs Departments,https://www.mckenziesheriff.net/,58854,701-842-6455,
299 State Street,Kipton,United States,Lorain,"Kipton, OH",Kipton Police Department,6,4407752525,300,Ohio,Police Departments,,44049,4407748097,PO Box 52
79-25 Winchester Boulevard,Queens Village,United States,Queens,"Queens Village, NY",NYS Office of Mental Health Police - Creedmoor Psychiatric Center,40,718-264-5700,"Hospital staff, patients & visitors & surrounding community",New York,Campus Police Department,https://www.omh.ny.gov/,11427-2199,718-264-4123,Bldg. 40
246 N Colorado Ave,Minden,United States,Kearney,"Minden, NE",Kearney County Sheriff's Office,7,308-832-2805,"7,000",Nebraska,Sheriffs Departments,https://kearneycounty.ne.gov/webpages/sheriff/sheriff.html,68959,,
527 MLK Jr. Drive South,Columbus,United States,Lowndes,"Columbus, MS",Lowndes County Sheriff's Department,100+,1-662-328-6788,,Mississippi,Sheriffs Departments,,39701,1-662-245-4633,
